user_id,workout_id,rating,completed,timestamp
128,114,3,False,2024-10-02 20:41:13.445802
702,159,5,True,2025-01-09 20:41:13.445819
909,87,4,False,2024-01-23 20:41:13.445821
543,40,5,True,2024-03-07 20:41:13.445823
898,161,5,True,2024-11-20 20:41:13.445825
359,191,4,True,2024-08-17 20:41:13.445826
527,25,4,True,2024-05-29 20:41:13.445828
313,164,4,True,2025-01-10 20:41:13.445830
75,152,4,True,2024-09-10 20:41:13.445835
546,95,3,False,2024-08-03 20:41:13.445837
871,186,4,False,2024-04-17 20:41:13.445838
196,167,4,True,2024-05-19 20:41:13.445839
843,46,1,True,2024-12-31 20:41:13.445840
29,138,4,False,2024-10-23 20:41:13.445841
706,32,5,False,2024-11-23 20:41:13.445843
16,97,4,True,2024-11-11 20:41:13.445844
423,164,4,True,2024-05-01 20:41:13.445845
589,156,3,False,2024-03-15 20:41:13.445846
805,144,5,False,2024-04-18 20:41:13.445847
593,16,3,True,2024-08-23 20:41:13.445848
405,18,5,False,2024-10-28 20:41:13.445850
940,136,5,True,2024-08-23 20:41:13.445851
636,75,5,False,2024-05-28 20:41:13.445852
531,198,1,True,2024-08-20 20:41:13.445853
967,1,3,True,2024-07-25 20:41:13.445854
614,190,5,True,2024-07-07 20:41:13.445855
904,125,5,False,2024-01-19 20:41:13.445856
77,38,5,True,2024-08-01 20:41:13.445857
229,45,4,False,2024-07-29 20:41:13.445858
962,186,4,True,2024-08-30 20:41:13.445859
297,81,2,True,2024-08-16 20:41:13.445860
510,129,5,True,2024-04-05 20:41:13.445861
715,32,5,True,2024-03-16 20:41:13.445862
984,136,1,True,2025-01-11 20:41:13.445864
966,118,3,True,2024-11-11 20:41:13.445865
573,40,4,True,2024-11-22 20:41:13.445866
538,184,4,True,2024-08-28 20:41:13.445867
583,191,2,True,2024-04-05 20:41:13.445868
615,74,3,True,2024-07-14 20:41:13.445869
979,111,2,True,2024-07-09 20:41:13.445870
326,103,3,True,2024-01-30 20:41:13.445871
363,103,5,True,2024-10-05 20:41:13.445872
669,74,5,True,2024-01-29 20:41:13.445873
875,164,5,True,2024-09-15 20:41:13.445875
